City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,Saskylakh,71.9167,114.0833,32.77,78,28,13.47,RU,2022-06-05 18:21:16
246,Reconquista,-29.15,-59.65,62.11,86,100,5.66,AR,2022-06-05 18:17:49
247,Aklavik,68.2191,-135.0107,28.4,80,100,4.61,CA,2022-06-05 18:21:17
248,Maragogi,-9.0122,-35.2225,79.38,78,47,11.12,BR,2022-06-05 18:21:17
249,Brae,60.3964,-1.353,53.44,76,97,2.01,GB,2022-06-05 18:21:17
250,Javanrud,34.7961,46.5172,71.37,34,66,3.74,IR,2022-06-05 18:21:18
251,Tumarbong,10.3766,119.4579,78.73,85,100,1.23,PH,2022-06-05 18:21:18
252,Buala,-8.145,159.5921,79.95,83,92,8.39,SB,2022-06-05 18:21:19
253,Belaya Gora,68.5333,146.4167,52.16,44,100,5.95,RU,2022-06-05 18:21:20
254,Chirongui,-12.9319,45.1483,78.73,73,42,17.43,YT,2022-06-05 18:21:20
255,San Quintin,30.4833,-115.95,67.89,69,14,18.97,MX,2022-06-05 18:21:20
256,Saint George,37.1041,-113.5841,91.44,18,0,6.91,US,2022-06-05 18:21:21
257,Buin,-33.7333,-70.75,65.05,49,96,1.86,CL,2022-06-05 18:18:31
258,Humberto De Campos,-2.5983,-43.4611,81.43,85,47,5.35,BR,2022-06-05 18:21:21
259,Lazaro Cardenas,17.9583,-102.2,85.68,62,62,9.24,MX,2022-06-05 18:21:22
260,Sabha,27.0377,14.4283,88.75,15,0,8.79,LY,2022-06-05 18:21:22
261,Rantepao,-2.9701,119.8978,64.58,97,21,2.73,ID,2022-06-05 18:21:23
262,Carutapera,-1.195,-46.02,79.84,90,98,5.91,BR,2022-06-05 18:21:23
263,Guadalupe Y Calvo,26.1,-106.9667,78.19,26,8,6.82,MX,2022-06-05 18:21:23
264,Aranda De Duero,41.6704,-3.6892,75.38,31,36,7.2,ES,2022-06-05 18:21:24
265,Samarai,-10.6167,150.6667,82.33,78,88,14.03,PG,2022-06-05 18:21:24
266,Teguldet,57.3064,88.1667,41.07,94,100,4.94,RU,2022-06-05 18:21:24
267,Geraldton,-28.7667,114.6,50.41,66,25,2.3,AU,2022-06-05 18:21:25
268,Mosquera,4.7059,-74.2302,64.49,68,75,5.75,CO,2022-06-05 18:21:25
269,Lujiang,31.2581,117.2817,72.14,94,20,1.19,CN,2022-06-05 18:21:25
270,Atasu,48.6814,71.6433,55.33,49,95,11.36,KZ,2022-06-05 18:21:26
271,East London,-33.0153,27.9116,59.94,88,0,4.61,ZA,2022-06-05 18:20:17
272,Lima,-12.0432,-77.0282,64.65,72,75,19.57,PE,2022-06-05 18:18:47
273,Lawrenceburg,38.0373,-84.8966,83.52,44,0,8.05,US,2022-06-05 18:21:26
